#,priority,priority_name,fds,footprint,footprint_peak,dirty,PE,frozen,docked,swappable,coalition_id,pid,name,flags,total_dirty_time,process_lifetime,percent_dirty
189,0,(Idle),22,6865,8993,N,Y,-,N,-,407,252,ScreenTimeSettingsAgent,(---),139,175,79.70
190,0,(Idle),12,3489,4049,N,Y,-,N,-,870,664,stickersd,(---),5,35,16.35
191,0,(Idle),3,3441,4017,N,Y,-,N,-,38,49,accessoryupdaterd,(---),91,183,49.58
192,0,(Idle),8,4753,5297,N,Y,-,N,-,278,176,managedappdistributiond,(---),143,181,78.70
193,0,(Idle),3,4673,4673,-,-,-,N,-,170,650,HealthBalanceWidgetExtension,(---),0,47,0.00
194,0,(Idle),5,4865,4961,N,Y,-,N,-,565,351,ContextService,(---),132,161,81.96
195,0,(Idle),3,2225,2337,N,Y,-,N,-,650,415,CoreThreadCommissionerServiced,(---),0,143,0.64
196,0,(Idle),12,2929,3185,N,Y,-,N,-,866,662,symptomsd-diag,(---),2,35,6.60
197,0,(Idle),6,4017,4401,N,Y,-,N,-,460,279,TrustedPeersHelper,(---),15,173,8.95
198,0,(Idle),3,2657,2721,N,Y,-,N,-,182,202,com.apple.MobileAsset.DownloadService.Builtin,(---),154,181,85.03
199,0,(Idle),3,3889,4081,N,Y,-,N,-,188,125,PowerUIAgent,(---),42,183,23.30
200,0,(Idle),18,7105,7521,N,Y,-,N,-,344,212,findmylocated,(---),140,180,77.59
201,0,(Idle),3,5473,5681,N,Y,-,N,-,401,248,accessoryd,(---),90,176,51.52
202,0,(Idle),3,3137,3265,N,Y,-,N,-,619,412,FitnessIntelligenceInferenceService,(---),3,143,2.45
203,0,(Idle),3,4577,4977,N,Y,-,N,-,662,422,activitysharingd,(---),1,141,0.73
204,0,(Idle),12,4113,4385,N,Y,-,N,-,559,348,ProtectedCloudKeySyncing,(---),100,161,61.89
205,0,(Idle),4,2929,3425,N,Y,-,N,-,445,671,localspeechrecognition,(---),1,27,5.17
206,0,(Idle),7,9489,128129,N,Y,-,N,-,12,240,SBRendererService,(---),15,177,8.59
207,0,(Idle),9,6369,6481,N,Y,-,N,-,220,142,liveactivitiesd,(---),45,183,25.01
208,0,(Idle),3,4593,9009,N,Y,-,N,-,611,387,assetsubscriptiond,(---),24,152,16.07
209,0,(Idle),3,2177,2193,N,Y,-,N,-,100,80,batterytrapd,(---),1,183,0.61
210,0,(Idle),3,2945,3137,N,Y,-,N,-,328,204,ctkd,(---),49,181,27.35
211,0,(Idle),5,3377,3649,N,Y,-,N,-,28,44,uarpd,(---),110,184,60.25
212,0,(Idle),8,6689,9345,N,Y,-,N,-,641,407,privatecloudcomputed,(---),91,145,62.70
213,0,(Idle),15,4881,10993,N,Y,-,N,-,244,156,syncdefaultsd,(---),96,182,52.54
