## smcDiagnose 5.00 200
MBSe , 0x00 00 00 00 00 00 00 00  
MDSV , 0x00 00 06 07 01 04 00 04  00 
MEKV , 24.000000
MEPS , 0x00 04 00 04 00 04 
MESS , 0.000000
MEST , 0x00 00 00 00 00 00 00 00  
MEWE , 1.000000
MGNT , -1.000000
MPPR , 1.000000
MSAL , 0x08 
MSAM , 1.000000
MSAN , 201.000000
MSAO , 202.000000
MSAR , 0.000000
MSAS , 3.000000
MSAT , 3.000000
MSAU , 0.000000
MSAV , 0.000000
MSMV , 10.000000
MSOC , 31.000000
MSSC , 0.000000
MSSK , 0.000000
MSSM , 0.000000
MST3 , 0.000000
MST6 , 0.000000
MSTC , 0.000000
MSTD , 0.000000
MSXP , 0.000000
MSXU , 0x00 00 
MSXZ , 0.000000
MSXb , 0.000000
MSXm , 8.000000
NAd1 , 0x00 00 00 00 00 00 00 00  
NAd2 , 0x00 00 00 00 00 00 00 00  
NAk1 , 0x00 00 00 00 
NAk2 , 0x00 00 00 00 
NAt1 , 0.000000
NAt2 , 0.000000
NFCC , 1.000000
NFCD , 1.000000
NFCP , 0.000000
NFCS , 1.000000
NFCT , 0.000000
NTAP , 1.000000
P01S , 0.334000
P1KM , 0.348000
P1MS , 0.000000
PBat , 0.000000
PCDP , 0.000000
PGDP , 0.158000
PHS1 , 0.309000
PHS2 , 0.310000
PHS3 , 0.308000
PHS4 , 0.307000
PP0b , 0.026684
PP1b , 0.041757
PP2b , 0.039858
PP4b , 0.000000
PP7b , 0.000000
PPZM , 0.000000
PPab , 0.016649
PPbb , 0.115734
PPdb , 0.000000
PZC0 , 0.472311
PZC1 , 0.653111
PZCB , 0.066901
PZCU , 0.007873
PZD1 , 0.123472
Pb0f , 0.000000
Pb1f , 0.000000
Pb2f , 0.000000
Pb3f , 0.000000
PwrB , 4500.000000
PwrS , 0.000000
PwrT , 110.000000
QA0u , 2705.000000
QQ0u , 2.954483
RBID , 6.000000
RBRV , 15.000000
RCID , 33072.000000
RCRV , 17.000000
RECI , 7887630331084828.000000
RESV , 0x00 00 00 00 00 00 00 00  00 00 00 00 00 00 00 00  
RGEN , 4.000000
RPF0 , 0.000000
RPlt , 0x64 38 34 00 00 00 00 00  
RUID , 0x37 31 33 37 36 64 38 33  2d 61 32 39 61 2d 33 32  34 66 2d 39 34 65 39 2d  36 39 36 62 37 32 37 64  31 36 36 62 00 
